                       Game of the Rope - Description of the internal state

Ref Coa1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5      Trial
Sta Stat Sta SG Sta SG Sta SG Sta SG Sta SG Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
SOG           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 POS  9 WTRL DYB  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 POS  9 WTRL DYB  8 DYB  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  8 DYB  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  8 DYB  6 SIT  6 DYB  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  8 DYB  6 SIT  6 DYB  7 SIT  6 4 1 5 . 1 4 -  2  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  8 DYB  6 SIT  6 DYB  7 SIT  6 1 5 - . 1 4 -  2  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  8 DYB  6 SIT  6 DYB  7 SIT  6 1 5 - . 4 - -  2  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  7 DYB  6 SIT  6 DYB  7 SIT  6 5 - - . 4 - -  3  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  7 DYB  5 SIT  6 DYB  7 SIT  6 - - - . 4 - -  3  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WTRL DYB  7 DYB  5 SIT  7 DYB  7 SIT  6 - - - . - - -  3  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WFRC DYB  7 DYB  5 SIT  7 DYB  6 SIT  7 - - - . - - -  3  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 DYB  9 WFRC DYB  7 DYB  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
WTC WTRL DYB  7 SIT  6 SIT  6 DYB  8 SIT  9 WFRC DYB  7 DYB  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
WTC WTRL SIT  7 SIT  6 SIT  6 DYB  8 SIT  9 WFRC DYB  7 DYB  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
WTC WTRL SIT  7 SIT  6 SIT  6 DYB  8 SIT  9 WFRC SIT  7 DYB  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
WTC WTRL SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WFRC SIT  7 DYB  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
WTC WTRL SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WFRC SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
TMR WTRL SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WFRC SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
TMR WFRC SIT  6 SIT  7 SIT  7 SIT  7 SIT  8 WFRC SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
TMR WFRC SIT  6 SIT  7 SIT  7 SIT  7 SIT  8 ASMT SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
TMR ASMT SIT  6 SIT  7 SIT  7 SIT  7 SIT  8 ASMT SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  3  -2
